,tot_pop,male_pop,female_pop,median_age,median_age_male,median_age_female,employ_status_tot,employ_status_working,employ_status_working_civ,employ_status_working_civ_employed,employ_status_working_civ_unemployed,employ_status_working_military,employ_status_not_working,birth_ed_tot,birth_ed_less_than_high,birth_ed_high,birth_ed_some_coll,birth_ed_batchelors,birth_ed_graduate,birth_income_tot,birth_income_none,birth_income_with _income,birth_income_less_10K,birth_income_10_15K,birth_income_15_25K,birth_income_25_35K,birth_income_35_50K,birth_income_50_65K,birth_income_65_75K,birth_income_more_75K,trans_tot,trans_car_truck_van_alone,trans_car_truck_van_pool,trans_public,trans_walked,trans_taxi_bike_other,trans_worked_home,occupation_tot,occupation_manage_bus_science_arts,occupation_service,occupation_sales_office,occupation_resources_construct_maint,occupation_production_transport,occupation_military,industry_tot,industry_ag_forestry_fish,industry_construction,industry_manufact,industry_wholesale,industry_retail,industry_trans,industry_information,industry_finance_insure_realestate,industry_professional_scientific_management,industry_education_health_care,industry_arts_entertatinment,industry_other_services,industry_public_admin,industry_military,FIPS,brewery_count,winery_count,craft_distillery_count,tot_k_pop,breweries_k_pop,wineries_k_pop,distilleries_k_pop,google_brewery_count,google_winery_count,google_distillery_count
tot_pop,1.0,0.999922682924389,0.9999265219996087,-0.0743677318295019,-0.10270973804022282,-0.05639391121978724,0.9996166030357698,0.9989782114116077,0.9989431290403599,0.9985522264389263,0.9871281546243986,0.7229521540967724,0.9949692257832506,0.9966959035849386,0.9810983587385379,0.9666517779662516,0.9920314529843661,0.9909742331382986,0.9689540015783494,0.9972494210753627,0.9893557400902592,0.9961991293128457,0.9942114581866727,0.9917213621758552,0.9917794600321262,0.9892151503077997,0.9894108857910866,0.9903577670964488,0.9848909643445796,0.9690313790798561,0.9986002024986582,0.9909869732407454,0.9874055908041902,0.5614782940657718,0.8096000351728608,0.9636223147479668,0.9815993868498724,0.9985272289201416,0.9921052983364019,0.9966928025839279,0.998177071320275,0.9871565089243811,0.9719247948935534,0.7287613535123542,0.9985272289201416,0.8304985296885695,0.9829221150145647,0.9168334248401339,0.9930557524957195,0.9971897410937217,0.9904613727047475,0.9632445328885317,0.9837119526176332,0.9876756900461946,0.9868587003259678,0.9893214419086821,0.9979639193021826,0.9556537849584601,0.721148157594077,-0.09211630316987388,0.757762866385687,0.7417106852933386,0.7553792570308323,1.0000000000000004,-0.21822635527608178,0.22094670537811345,-0.28278490503714715,0.5792621800933585,0.29328661732689065,0.6901504205208406
male_pop,0.999922682924389,1.0,0.9996984700892653,-0.07870784037635441,-0.10636865856179913,-0.061160295089724676,0.9993216912877382,0.9988973593152399,0.9988449973661405,0.9984736928912513,0.986810691509265,0.725025804874035,0.9943091884806354,0.9964200071847005,0.9822785825465784,0.9647154763690757,0.9925429674415017,0.9909891832339264,0.9677479259997582,0.9971002630988929,0.990018376096671,0.9958883370673586,0.9937922794186195,0.9916865850379685,0.9914242227812455,0.9886204811331536,0.9887440717299399,0.9898466363387363,0.9845595852982717,0.9693281989555946,0.998523488274648,0.9915189107542441,0.9890058392634283,0.5562043982276226,0.8067583384110715,0.9651200038712927,0.9826817075357313,0.9984446536701911,0.9918497694291517,0.9963641376808154,0.9978799439656223,0.9883227744124131,0.9721846737888922,0.7305938289309115,0.9984446536701911,0.8360190019763043,0.9835467008166697,0.9175771377278943,0.9937077919671646,0.9968807883076395,0.9902034220469839,0.9635142169173729,0.9825480813849705,0.9878645496345779,0.9856750370242326,0.9893866631984499,0.9981810245112238,0.9550926015348882,0.7232305667726197,-0.09279456824726956,0.7594137352917966,0.7466438043788254,0.7563311030849619,0.9999226829243899,-0.2151798928348685,0.2253724165161543,-0.2798076213253767,0.5778293807474055,0.29041869184381147,0.6877493011552218
female_pop,0.9999265219996087,0.9996984700892653,1.0,-0.07012567245317829,-0.09912752153697092,-0.05173896934757073,0.999755306017375,0.9989083316490042,0.9988900996349699,0.998480149828882,0.9872907009074121,0.7208230267171143,0.9954645661099311,0.9968165040516584,0.9798017704456738,0.968395509869568,0.9913851339656536,0.9908121512414316,0.9699855240976928,0.9972463871806947,0.9885624972992756,0.9963538222198279,0.9944721084323078,0.9916076460606768,0.9919781383823005,0.9896476224911385,0.9899136598606378,0.9907086311036803,0.9850674096931894,0.9685977803849984,0.9985263451650452,0.9903209001136495,0.9856985992699386,0.5665360170517038,0.8122497761554492,0.9620188441740279,0.9803981656228504,0.9984590961169129,0.9922067267060769,0.9968648453108032,0.9983181484797609,0.9858726262490548,0.9715267777216072,0.7268664731607539,0.9984590961169129,0.8249932322898528,0.9821669234232894,0.9159719386322454,0.9922722890707173,0.9973424933352127,0.9905654066376076,0.9628382491706631,0.984700135153289,0.9873445620764562,0.9878657089219334,0.989110598754623,0.9976037244474515,0.9560586089371637,0.7190107605436268,-0.09144137939546071,0.756040709691205,0.7367911900528659,0.754338903177275,0.9999265219996086,-0.22116374039020112,0.2165993771766689,-0.28564524109581135,0.5805751650395833,0.2960397420516116,0.6923912520427935
median_age,-0.0743677318295019,-0.07870784037635441,-0.07012567245317829,1.0,0.9916573840908779,0.9947995147072347,-0.06008531598105479,-0.07344884048913657,-0.07231246509744997,-0.07469193768048471,-0.04431498299027168,-0.19303275225551575,-0.036840054561063415,-0.05790254794359141,-0.11781578749569374,0.010125675994335056,-0.07991541163736435,-0.0673541474613704,-0.038972886468280094,-0.06624521911929523,-0.10767839262111457,-0.05780109197082361,-0.06325877747753454,-0.053095136590492205,-0.04715503274593877,-0.0435780670598265,-0.04521950841741215,-0.05771659141872372,-0.05961494945329985,-0.08190789766394661,-0.07614413617595571,-0.07536059099478062,-0.12125318864624948,-0.005154915809005492,-0.026172100227328937,-0.10904016072702495,-0.08256664896719669,-0.0759945525013429,-0.07343809132078997,-0.060404167282502315,-0.06696260372544639,-0.12019765157968683,-0.08296589678838139,-0.19563848761873887,-0.0759945525013429,-0.26533370637252796,-0.11426642803255581,-0.05816729982047391,-0.08621603749522483,-0.05631425906923078,-0.09664644873062045,-0.09320202740704524,-0.04734686710148052,-0.08177582599401209,-0.04486981244739386,-0.06181100570731202,-0.08961223946970938,-0.10145408428091862,-0.19265535244688278,0.12734998206418893,0.028964845268436356,-0.10501128572152564,-0.024953514220701915,-0.0743677318295019,0.2549848405860228,0.14044726550047876,0.2473122000600595,0.06435346123887785,0.2644991350170065,0.015166324880127523
median_age_male,-0.10270973804022282,-0.10636865856179913,-0.09912752153697092,0.9916573840908779,1.0,0.9743016296604085,-0.08876676130642733,-0.10106085143037775,-0.0999368550400522,-0.10210913283438904,-0.07382644614974943,-0.21136848160010085,-0.06718938325439058,-0.08362033166874533,-0.13999452496398196,-0.02060511880391729,-0.10179473416310349,-0.0915340905603149,-0.06760543460869245,-0.09190238234911768,-0.13094711124470082,-0.08386741149848323,-0.08999689646590062,-0.0777366593029759,-0.07210606445454212,-0.06957172232751044,-0.07194007233034935,-0.08504984527715863,-0.08646426489815617,-0.10649779833653646,-0.10354616792138527,-0.10229256889909165,-0.14348483545466403,-0.03136483539613723,-0.050706359128351745,-0.123981698595888,-0.1006689812527435,-0.10346376150236623,-0.1015165906392904,-0.08686626055470224,-0.09446608498925903,-0.14359168047165763,-0.11162948962721099,-0.21529060630434463,-0.10346376150236623,-0.26921522646142376,-0.13887125836631165,-0.08613073001163264,-0.11114177412220155,-0.08354932719757938,-0.1240069936264316,-0.11650033393792987,-0.07731381940231728,-0.10604811675672973,-0.07711164083974154,-0.0834846381013898,-0.11528402754404418,-0.13239637415376976,-0.21091848584860298,0.12245818889814782,0.025532046122805133,-0.10563482217726089,-0.025702646665824717,-0.10270973804022288,0.32337464074381245,0.16931976446431657,0.319450111873088,0.024096764400751765,0.2133520869850378,-0.0005344391056126436
median_age_female,-0.05639391121978724,-0.061160295089724676,-0.05173896934757073,0.9947995147072347,0.9743016296604085,1.0,-0.04194007342431192,-0.05610227880481443,-0.05496315323420741,-0.057376259114907784,-0.02686826110258147,-0.18089364127933455,-0.017430385243462146,-0.041185797459460605,-0.1032805801878638,0.03116761875078419,-0.06544045388592941,-0.052546575209749535,-0.02185461879009982,-0.04954621812522121,-0.09254023047764505,-0.04083453034308377,-0.045351628297980104,-0.036450335429041344,-0.030348560038665456,-0.02609165268582671,-0.027436177785490116,-0.040354751263971984,-0.043197556965476044,-0.06767828754341343,-0.05880708601539897,-0.05844056553780332,-0.10755542118710523,0.013065586480047988,-0.010297187182097201,-0.10054534119880879,-0.07234015562591427,-0.058620237372581825,-0.056300487138190615,-0.0437149306237816,-0.04950333735593208,-0.10466548247629762,-0.06347279003162255,-0.1827034952073226,-0.058620237372581825,-0.2590794184413635,-0.09840640209873515,-0.03984910433927156,-0.07046432500218817,-0.03894521253961131,-0.07864298079085248,-0.07896206089307736,-0.02854878273495385,-0.06786277476561768,-0.024073260406208975,-0.04908858709823603,-0.07346800668137111,-0.08206419550993395,-0.18056798390765363,0.13097432655381383,0.02842077525869349,-0.10610299769473394,-0.026149201173459282,-0.056393911219787256,0.2012663202504063,0.11830310182438228,0.19054972262601283,0.08529427570178864,0.2937995991634716,0.020196985201068288
employ_status_tot,0.9996166030357698,0.9993216912877382,0.999755306017375,-0.06008531598105479,-0.08876676130642733,-0.04194007342431192,1.0,0.9987658071362361,0.9987697289787572,0.9982143975929642,0.9888111365211664,0.7179873394712606,0.9963714045504357,0.9973547329781648,0.9782335299531166,0.9694369317717404,0.991771141826496,0.9917069072925849,0.9721272205423054,0.9975024157229776,0.9878071485286225,0.9968110387305914,0.9944599210438527,0.9924158866116084,0.992446180076751,0.990063433601583,0.990366090634674,0.9908018426554487,0.9857906356352383,0.9695095345934257,0.9981891178207714,0.9890970608760609,0.9841024028680793,0.5706588927494836,0.8164322986089,0.9641410436214878,0.9817488284478693,0.9981272808824347,0.9922952631298851,0.9975320042692524,0.9982166144719725,0.9834100011204512,0.9695837157298907,0.7231941903898025,0.9981272808824347,0.818115027373668,0.9793601370004678,0.9144277310632837,0.9913984936840133,0.9973437068297938,0.989045974165058,0.9644617599106128,0.9851231642434064,0.9880520865535305,0.9879907644025344,0.99050537042425,0.9971242892383937,0.9558210528392049,0.7162143089229338,-0.09419160302632613,0.7626015614500992,0.7405469050819466,0.7570080452659773,0.9996166030357696,-0.21641389195125657,0.22160027941825133,-0.28255747072183296,0.5815804479213864,0.2996464681592906,0.6934277813020022
employ_status_working,0.9989782114116077,0.9988973593152399,0.9989083316490042,-0.07344884048913657,-0.10106085143037775,-0.05610227880481443,0.9987658071362361,1.0,0.9999842409150043,0.9998699105093554,0.9850346283139474,0.7213032384998594,0.9909143964235374,0.9972830073511056,0.9780659637289206,0.9660819806875944,0.9906528525304741,0.9948447671778604,0.9762587116650417,0.9978071599648151,0.9868324141442576,0.9973703533573848,0.9935533409517657,0.9892563882443002,0.9897056152528126,0.9884801459035705,0.9906928216554236,0.994538935714536,0.9910579350751232,0.9763369182229258,0.9998118654889747,0.9897753995471367,0.9855619633919365,0.5767777936402053,0.8223693658591729,0.9638251358887526,0.9830744692800687,0.9998066795357979,0.9962663585945017,0.9969152647743225,0.9978727293781982,0.9842651952411333,0.9722175174719344,0.727076339184155,0.9998066795357979,0.8244295529014078,0.9810626986047275,0.9194308419357583,0.993477251606483,0.9960872784920036,0.9906543852024231,0.9677926217134354,0.986648017170934,0.990345222234361,0.990429350751499,0.9881093389298342,0.9978382230575163,0.9577171956664966,0.7195004840754088,-0.09432370246825271,0.7704376685100193,0.7445147256166148,0.7624326400494432,0.9989782114116076,-0.20415624240990204,0.22780346707612484,-0.276627455185414,0.5871046877419628,0.3004044183939335,0.700450584380908
employ_status_working_civ,0.9989431290403599,0.9988449973661405,0.9988900996349699,-0.07231246509744997,-0.0999368550400522,-0.05496315323420741,0.9987697289787572,0.9999842409150043,1.0,0.9998834229962585,0.9850754568524536,0.7174034489899377,0.9909520216010739,0.9972799788996972,0.9777117932101419,0.9665721198735572,0.9904749337761215,0.9947398049225913,0.9763134116516404,0.997787837858104,0.9865708608903981,0.9973994293538585,0.9936254682551257,0.9891830934954355,0.9897102717131899,0.9885277098082585,0.9907842970495918,0.9947041689199051,0.9912658059360222,0.9762248502928811,0.9997974759427164,0.9895755310373715,0.9850592300241031,0.5782088745813068,0.8235914454442311,0.9635784287698591,0.982699307463874,0.9997875081839037,0.9962191597691784,0.9969802147968007,0.9979185959545194,0.9838356945221651,0.9724993348906222,0.7232635052706942,0.9997875081839037,0.8237131701125757,0.9806565417359894,0.9199796008041514,0.9935824378113858,0.9960928373426453,0.990784457100531,0.9677355487961539,0.9869245871621992,0.9900083475374877,0.9907999889061833,0.9879994921427341,0.9976489695295656,0.9567745194870342,0.7155902870707105,-0.09443217672666904,0.7695440485185687,0.7438052437888126,0.7619625789922851,0.9989431290403599,-0.2048690982189521,0.2272443314642824,-0.27710337382504635,0.5868397198234665,0.3000373208231073,0.7000844448074233
employ_status_working_civ_employed,0.9985522264389263,0.9984736928912513,0.998480149828882,-0.07469193768048471,-0.10210913283438904,-0.057376259114907784,0.9982143975929642,0.9998699105093554,0.9998834229962585,1.0,0.9823324838138069,0.7175983712118262,0.9896441665499407,0.9971255390629976,0.9767698774230194,0.967405354763733,0.9900547218977059,0.994547407742216,0.97593650607679,0.9976820181820589,0.9854711598999818,0.9974922583596926,0.9937514279563361,0.988312987681588,0.9896075725012076,0.9889922366022612,0.9916018887530123,0.995618106444712,0.9916853860654454,0.9757299112581012,0.9999656691365544,0.9899490970118664,0.9848439281932485,0.5782735637412824,0.8234606800887493,0.9614441357147654,0.9817732061822824,0.9999660829964511,0.9964933830219598,0.996601381402472,0.9979450798533213,0.9845836068425274,0.9731080601436419,0.723788389213926,0.9999660829964511,0.8259625719948083,0.982133320558067,0.9202299334903105,0.9934385957804953,0.9961923656212198,0.9913638961646265,0.9659599674646726,0.9874927840541027,0.9894192478567544,0.9915280198357398,0.9869106758339604,0.9975151824962838,0.9568887190418947,0.7157741995233491,-0.09178443092311628,0.7695278410662233,0.7388678772156592,0.7632380466699753,0.9985522264389262,-0.20295732832389626,0.22618415373550402,-0.27633785337431616,0.5903147872768435,0.301032047776051,0.7026928778582463
employ_status_working_civ_unemployed,0.9871281546243986,0.986810691509265,0.9872907009074121,-0.04431498299027168,-0.07382644614974943,-0.02686826110258147,0.9888111365211664,0.9850346283139474,0.9850754568524536,0.9823324838138069,1.0,0.7035564470696413,0.989603396877501,0.9828264239416934,0.9724530270433642,0.9414834004197385,0.9791278681739083,0.980755383069455,0.9647081290321804,0.9827779525508997,0.9829469097665317,0.9801565324414531,0.9760703811516875,0.9829285518952454,0.9747963792384976,0.9672388181429349,0.965478745496994,0.9682488805024937,0.9704391241305754,0.9659515686204846,0.9816660755215824,0.9692950035880508,0.9714902066236197,0.5680902958915455,0.8116914875999133,0.9719905522721871,0.977181277490604,0.9815392401333913,0.9769506151345687,0.9850610622611042,0.9814151609046833,0.9594284580950928,0.9498452084265308,0.7056017645415645,0.9815392401333913,0.7849801823740341,0.9480845936727333,0.9022183991734092,0.979069459550422,0.9787956384782751,0.968163540416823,0.9720364950735444,0.9644930800062498,0.9805726902902211,0.966503779618061,0.9842296415218874,0.9829566085585142,0.9399504127353409,0.7018968390033344,-0.12274612421147195,0.757230365763221,0.7873845695121774,0.7352112660401305,0.9871281546243984,-0.2230932154863253,0.2355053104795401,-0.2812331067422221,0.5398900118257939,0.28481618122114977,0.661340448122687
employ_status_working_military,0.7229521540967724,0.725025804874035,0.7208230267171143,-0.19303275225551575,-0.21136848160010085,-0.18089364127933455,0.7179873394712606,0.7213032384998594,0.7174034489899377,0.7175983712118262,0.7035564470696413,1.0,0.7081813156264269,0.7177781442904871,0.7472752164041991,0.6344904300608575,0.7345852125124173,0.7285999301594216,0.6955320669498106,0.7201653756279304,0.7421550836945279,0.713880194204062,0.7058230751106214,0.720673002440486,0.7113791776693594,0.7052040570119967,0.7013783261670703,0.6950454297337302,0.6872810566409465,0.7161627820424877,0.7209989397974683,0.7366619894310404,0.7709959960284658,0.23835528547706492,0.4408086677601852,0.7237729964855986,0.75346786395935,0.7215851491591669,0.7224961869694129,0.7091269793043097,0.7121700990200577,0.761028311147642,0.6646051132015083,0.9934250643611031,0.7215851491591669,0.6814422560640134,0.7558445937277828,0.5936994977920874,0.7016898036738641,0.7158585551291219,0.6965889567540374,0.7032315321456947,0.6756332077246344,0.7539745951509591,0.6667479863482005,0.7243573525882628,0.7411524648708704,0.8052421438866746,0.9999871636251804,-0.05446994191137537,0.6644687785122415,0.6231034209475727,0.6064550649755255,0.7229521540967723,-0.05891533518345747,0.23285403865131832,-0.14027951806587485,0.4538362914740106,0.26089848111593256,0.5476502443501021
employ_status_not_working,0.9949692257832506,0.9943091884806354,0.9954645661099311,-0.036840054561063415,-0.06718938325439058,-0.017430385243462146,0.9963714045504357,0.9909143964235374,0.9909520216010739,0.9896441665499407,0.989603396877501,0.7081813156264269,1.0,0.9917492900956393,0.97290214608724,0.9696180751628704,0.9879911931918405,0.9806338556456642,0.9594639078169416,0.991250993934805,0.98380396703718,0.9901273480300049,0.9903017376857368,0.9921301153245744,0.991442337018388,0.9870901292491554,0.9841179794276971,0.9787071243574985,0.971102489356414,0.9522414899454404,0.9896751795396483,0.9822537124034997,0.9759490149575584,0.5568957441149492,0.8015691346486341,0.9591448033230102,0.9738384474258488,0.9895166188434958,0.979790973372237,0.9928594962346136,0.9930726024083817,0.9762962514491755,0.959501499670371,0.7123879172292052,0.9895166188434958,0.8025953741299608,0.9708175721762734,0.9006021829005547,0.9821421240698541,0.9937684713380264,0.9806091176673088,0.9532144578646853,0.9768520264120705,0.9784475726754653,0.978137353862647,0.9889222712800023,0.9901738390269148,0.94708195895,0.7064694043380046,-0.0934242393046102,0.7447933221570963,0.7294941559761726,0.7433643763608514,0.9949692257832513,-0.23617600471890385,0.209697529004159,-0.2910964508056714,0.569442856888831,0.29696159852114307,0.6782105616154014
birth_ed_tot,0.9966959035849386,0.9964200071847005,0.9968165040516584,-0.05790254794359141,-0.08362033166874533,-0.041185797459460605,0.9973547329781648,0.9972830073511056,0.9972799788996972,0.9971255390629976,0.9828264239416934,0.7177781442904871,0.9917492900956393,1.0,0.9768724857975725,0.9750340646725139,0.9942555927662167,0.9938795582264769,0.9750558964858698,0.9998640872462384,0.9876701656717932,0.9996652015203973,0.9973260067191626,0.9948619493774781,0.9957016803015317,0.9940280337893267,0.9944306942226732,0.9938980844793216,0.9883564772129455,0.9702434190838845,0.9971562040168244,0.9878235729840158,0.9816039944166532,0.5724192948253944,0.8161530914689442,0.9619234148807244,0.981975724331548,0.9971216011069971,0.9917304541254965,0.9964262060565277,0.9971234028818428,0.9808535084459472,0.9687586216141526,0.7232153766952004,0.9971216011069971,0.8121754896861971,0.9778133224688853,0.9129434952778694,0.9893469196242921,0.996507279371182,0.988734549176047,0.9623714773548889,0.9857490443939887,0.9870278881310881,0.9877339209252789,0.9903192473968263,0.9951361810774613,0.9529288840704536,0.7160432819904882,-0.11954331972134435,0.7678660241123408,0.7356176411130176,0.7618423023707451,0.9966959035849386,-0.2029407495108706,0.22759963189081614,-0.26976994137640603,0.5841352057053383,0.30397383326355437,0.6951922280226666
birth_ed_less_than_high,0.9810983587385379,0.9822785825465784,0.9798017704456738,-0.11781578749569374,-0.13999452496398196,-0.1032805801878638,0.9782335299531166,0.9780659637289206,0.9777117932101419,0.9767698774230194,0.9724530270433642,0.7472752164041991,0.97290214608724,0.9768724857975725,1.0,0.9210941475029563,0.976124566332042,0.9712438512392332,0.9414697805516251,0.9791574247931147,0.9955850472341471,0.9733004497211356,0.9721586690739583,0.9804444091963663,0.9698696444067905,0.9588184863706546,0.9550026886504257,0.958825303535391,0.9564534278361803,0.9583363749248809,0.976715851329873,0.9690638882922833,0.9861881972992144,0.5286576609642246,0.7740137595609499,0.969793738470144,0.9705888830665974,0.976549195174403,0.9677375777398513,0.9773579734606103,0.974019679198775,0.9835879543889007,0.9430972436024114,0.7502504439034418,0.976549195174403,0.8762266298009229,0.9735047331434397,0.8794634011791556,0.9783552233044156,0.971524030408767,0.9689528625475288,0.9617444928039824,0.9513233733504032,0.9726834335910204,0.953238772746844,0.9745149749074535,0.9851654511407616,0.9362420554101839,0.7454082015287453,-0.1294779861983929,0.7115401834856293,0.7924189370394292,0.7280446181516455,0.9810983587385382,-0.21474836166003153,0.23299826256067627,-0.24744954097894337,0.4853867894392803,0.230566232621283,0.6103799143017417
birth_ed_high,0.9666517779662516,0.9647154763690757,0.968395509869568,0.010125675994335056,-0.02060511880391729,0.03116761875078419,0.9694369317717404,0.9660819806875944,0.9665721198735572,0.967405354763733,0.9414834004197385,0.6344904300608575,0.9696180751628704,0.9750340646725139,0.9210941475029563,1.0,0.9614681626555076,0.9534055296311247,0.937275506550309,0.9730253553412808,0.9390295616763333,0.9772486009638317,0.9817175847946324,0.9693682279432098,0.9822060708375816,0.9875653889438477,0.9867878914051303,0.974991976052251,0.9575659932914516,0.9110635794359281,0.9677301863727749,0.9646585140412561,0.932042326389179,0.5553281315963918,0.7886535728172397,0.8891373497943383,0.9264992699161391,0.9676998416976639,0.9559758885165355,0.9659841497597488,0.9733693615163093,0.9434339564551066,0.9602361122163454,0.6442587865520814,0.9676998416976639,0.7392721833318345,0.9468507697309405,0.9054880099966542,0.9539771948097113,0.9767936878206895,0.9694793597722567,0.8957231325923124,0.9657479930601321,0.9373427427933767,0.9724900914153317,0.955441913427882,0.9572310379533128,0.911134489194098,0.6327226051176695,-0.09144789785986117,0.7213484785573838,0.605102823010657,0.717964723591338,0.966651777966252,-0.24193431347785402,0.14134100059877544,-0.3099556110681106,0.6104987971165218,0.3308802232139616,0.7045904695998781
